,Groceries,Food & Drink,Shopping,Schools,Entertainment,Fitness Facilities,Transportation,Libraries,Goods and Services,Crowded Housing,Health Ins,Poverty,Violent Crime,Property Crime,EduLessThanHS,Unemployment Rate,NTA_Name,NTA_Code,Location
52,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.11900000000000001,0.89,0.34299999999999997,0.083,0.13699999999999998,0.225,0.132,Bedford,BK75,"{'lat': 32.84402, 'lng': -97.14307}"
53,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.039,0.8109999999999999,0.125,0.044000000000000004,0.092,0.094,0.069,Greenpoint,BK76,"{'lat': 40.72371, 'lng': -73.95097}"
56,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.092,0.8590000000000001,0.3,0.121,0.19699999999999998,0.268,0.131,Ocean Hill,BK79,"{'lat': 40.67417, 'lng': -73.91167}"
57,0.05,1.0,0.2,0.25,0.0,1.0,0.1,0.0,1.0,0.08,0.875,0.4,0.10099999999999999,0.161,0.272,0.151,Brownsville,BK81,"{'lat': 25.90175, 'lng': -97.49748}"
58,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.136,0.89,0.332,0.091,0.19,0.221,0.139,East New York,BK82,"{'lat': 40.66677, 'lng': -73.88236}"
59,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.23199999999999998,0.845,0.302,0.067,0.134,0.285,0.086,Cypress Hills,BK83,"{'lat': 40.67705, 'lng': -73.89125}"
60,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.23199999999999998,0.845,0.302,0.067,0.134,0.285,0.086,City Line,BK83,"{'lat': 40.67621, 'lng': -73.88708}"
62,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.23600000000000002,0.9009999999999999,0.373,0.02,0.036000000000000004,0.285,0.063,Borough Park,BK88,"{'lat': 40.63399, 'lng': -73.99681}"
64,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.077,0.8809999999999999,0.124,0.055999999999999994,0.113,0.125,0.102,East Flatbush,BK91,"{'lat': 40.65371, 'lng': -73.93042}"
65,0.1,1.0,1.0,0.9,1.0,1.0,1.0,0.0,1.0,0.077,0.8809999999999999,0.124,0.055999999999999994,0.113,0.125,0.102,Farragut,BK91,"{'lat': 35.88452, 'lng': -84.15353}"
66,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.057,0.9520000000000001,0.32,0.023,0.08800000000000001,0.205,0.156,Starrett City,BK93,"{'lat': 40.66677, 'lng': -73.88236}"
67,0.0,1.0,0.85,0.0,0.0,0.2,0.0,0.0,0.2,0.127,0.823,0.23,0.09,0.165,0.192,0.14300000000000002,Erasmus,BK95,"{'lat': -25.81015, 'lng': 28.74248}"
68,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.087,0.846,0.18600000000000003,0.06,0.114,0.17600000000000002,0.114,Rugby,BK96,"{'lat': 48.36889, 'lng': -99.99625}"
71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,1.0,0.163,0.877,0.506,0.067,0.134,0.39899999999999997,0.217,Claremont,BX01,"{'lat': 34.09668, 'lng': -117.71978}"
72,0.15,1.0,1.0,0.45,0.7,1.0,0.05,0.0,1.0,0.163,0.877,0.506,0.067,0.134,0.39899999999999997,0.217,Bathgate,BX01,"{'lat': 55.90204, 'lng': -3.64398}"
73,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.073,0.892,0.18,0.049,0.085,0.196,0.14400000000000002,Eastchester,BX03,"{'lat': 40.95754, 'lng': -73.80976}"
75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.073,0.892,0.18,0.049,0.085,0.196,0.14400000000000002,Baychester,BX03,"{'lat': 40.86121, 'lng': -73.84125}"
76,0.6,1.0,1.0,1.0,1.0,1.0,1.0,0.15,1.0,0.168,0.8220000000000001,0.335,0.059000000000000004,0.134,0.341,0.162,Bedford Park,BX05,"{'lat': 41.76281, 'lng': -87.80006}"
78,0.15,1.0,0.45,1.0,1.0,1.0,1.0,0.0,1.0,0.151,0.83,0.461,0.07200000000000001,0.147,0.391,0.12,Belmont,BX06,"{'lat': 43.07558, 'lng': -85.6092}"
79,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.109,0.816,0.258,0.049,0.08800000000000001,0.27,0.146,Bronxdale,BX07,"{'lat': 40.85524, 'lng': -73.86529}"
80,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.14400000000000002,0.784,0.348,0.063,0.106,0.38299999999999995,0.142,West Farms,BX08,"{'lat': 40.83982, 'lng': -73.87764}"
81,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.14400000000000002,0.784,0.348,0.063,0.106,0.38299999999999995,0.142,Bronx River,BX08,"{'lat': 40.80816, 'lng': -73.86764}"
83,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.05,1.0,0.068,0.894,0.276,0.045,0.11199999999999999,0.259,0.11900000000000001,Castle Hill,BX09,"{'lat': -33.73333, 'lng': 151.0}"
84,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.068,0.894,0.276,0.045,0.11199999999999999,0.259,0.11900000000000001,Clason Point,BX09,"{'lat': 40.81363, 'lng': -73.86179}"
85,0.7,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.068,0.894,0.276,0.045,0.11199999999999999,0.259,0.11900000000000001,Harding Park,BX09,"{'lat': 42.4742, 'lng': -83.12743}"
86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.024,0.9329999999999999,0.10300000000000001,0.024,0.068,0.174,0.09300000000000001,Pelham Bay,BX10,"{'lat': 40.85056, 'lng': -73.83333}"
87,0.55,1.0,1.0,1.0,1.0,1.0,1.0,0.1,1.0,0.024,0.9329999999999999,0.10300000000000001,0.024,0.068,0.174,0.09300000000000001,Country Club,BX10,"{'lat': 25.94815, 'lng': -80.317}"
88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.024,0.9329999999999999,0.10300000000000001,0.024,0.068,0.174,0.09300000000000001,City Island,BX10,"{'lat': 40.84732, 'lng': -73.78652}"
89,0.0,0.6,0.05,0.0,0.0,0.35,0.0,0.0,0.0,0.045,0.925,0.10099999999999999,0.022000000000000002,0.08,0.16,0.124,Co,BX13,"{'lat': 4.0, 'lng': -73.25}"
90,0.0,0.25,0.05,0.0,0.0,0.35,0.0,0.0,0.0,0.045,0.925,0.10099999999999999,0.022000000000000002,0.08,0.16,0.124,op City,BX13,"{'lat': 50.66667, 'lng': 17.9}"
